N_dw,N_v,N_c,N_iw,N_s,F,IF_rc,IF_vb,IF_ve,IF_vc,PS,IF_p,IF_w,Date,Word,Number of reported results,Number in hard mode,R_h,R_t1,R_t2,R_t3,R_t4,R_t5,R_t6,R_tx,ATN,cluster_2,cluster_3,cluster_4,difficulty_mean_2,L_d,difficulty_freq_4
0,0.666666667,0.333333333,0,0,0,0,0,0,1,NN,1,1,2022/4/26,heist,103153,6830,0.066212325,1,13,32,31,16,6,1,3.73,2,2,1,easy,easy,easy
0,0.666666667,0.333333333,0,0,0.000366491,0,0,1,0,NN,1,1,2022/5/23,hinge,66431,4906,0.073851064,0,5,25,37,22,9,2,4.17,2,1,4,easy,normal,normal
0,0.666666667,0.333333333,0,0,0,0,0,0,1,NN,1,1,2022/3/7,hoard,218595,9823,0.044936984,1,9,30,34,19,7,1,3.92,2,2,1,easy,normal,easy
0,0.666666667,0.333333333,0,0.5,0.005874065,0,0,0,0,NN,1,1,2022/5/5,homer,85979,6313,0.073424906,0,3,16,26,24,19,12,5.12,1,3,2,hard,hard,hard+
0,0.333333333,0.666666667,0,0.5,0.000366491,0,0,0,0,NN,0,0,2022/10/9,howdy,28408,2668,0.093917206,0,2,13,32,32,17,4,4.73,1,1,2,hard,normal,hard+
0,0.666666667,0.333333333,0,0.5,0.017239104,0,0,0,0,NN,1,1,2022/2/9,humor,305372,13846,0.04534142,1,5,22,34,25,11,2,4.24,2,1,4,easy,normal,hard
0,0.333333333,0.666666667,0,0.5,0,0,0,0,0,NN,0,0,2022/8/13,hunky,35276,3185,0.090288015,0,1,11,33,25,22,7,4.94,1,3,2,hard,hard,hard+
0.5,0.333333333,0.666666667,0,0,0,0,0,0,0,NN,1,1,2022/6/30,hutch,44212,3758,0.084999548,0,1,12,28,28,21,9,5.06,1,3,2,hard,hard,hard+
0,0.666666667,0.333333333,0,0.5,0,0,1,0,0,NN,1,1,2022/12/28,impel,20160,1937,0.096081349,0,3,21,40,25,9,1,4.18,2,1,4,easy,normal,normal
0.5,1,0,0,0.5,0.000366491,0,1,1,0,NN,0,0,2022/11/13,inane,25085,2515,0.100259119,0,8,25,30,21,13,3,4.24,2,1,4,easy,normal,hard
0,0.666666667,0.333333333,0,0.5,0.00073213,0,1,0,0,NN,1,1,2022/11/2,inept,27670,2640,0.095410192,0,6,30,39,20,6,1,4.04,2,2,1,easy,normal,normal
0,0.666666667,0.333333333,0,0.5,0.001834581,0,1,0,0,NN,1,0,2022/4/24,inert,97452,6743,0.069193039,0,7,27,34,22,9,1,4.05,2,2,1,easy,normal,normal
0,0.666666667,0.333333333,0,0.5,0.000366491,0,1,0,0,NN,1,1,2022/12/8,infer,21199,1863,0.087881504,0,3,19,33,26,14,3,4.39,2,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0.5,0.007321299,0,1,0,0,NN,1,0,2022/6/20,input,50484,3950,0.078242612,0,5,30,38,21,6,1,4.03,2,2,1,easy,normal,normal
0,0.666666667,0.333333333,0,0.5,0.00073213,0,1,0,0,NN,0,0,2022/9/4,inter,32018,2889,0.090230495,0,6,25,36,23,8,1,4.04,2,2,1,easy,normal,normal
0.5,1,0,0,1,0.002932776,0,1,0,1,NN,1,1,2022/10/12,ionic,29151,2947,0.101094302,0,2,13,25,28,21,11,5.19,1,3,2,hard,hard,hard+
0,0.666666667,0.333333333,0,1,0.004384266,0,1,0,0,NN,1,1,2022/8/26,irony,34716,3046,0.087740523,0,6,29,34,21,8,1,3.98,2,2,1,easy,normal,normal
0,0.333333333,0.666666667,0,0.5,0,0,1,0,0,NN,1,1,2022/11/25,itchy,24197,2329,0.096251601,0,8,28,40,18,5,1,3.9,2,2,1,easy,normal,easy
0,0.666666667,0.333333333,0,0,0.000366491,0,0,0,1,NN,1,1,2022/12/7,joust,24899,2388,0.095907466,0,6,29,34,21,8,2,4.08,2,2,1,easy,normal,normal
0,0.666666667,0.333333333,0,0,0.028221052,0,0,1,0,NN,1,0,2022/12/26,judge,20011,2043,0.102093848,0,2,8,16,26,33,14,5.6,1,3,3,hard,hard,hard+
0.5,0.666666667,0.333333333,0,0.5,0.000366491,0,0,1,0,NN,1,0,2022/8/14,khaki,31652,2968,0.093769746,0,2,17,33,28,16,4,4.63,1,1,4,hard,normal,hard+
0.5,0.333333333,0.666666667,0,0,0.005490974,0,0,0,0,NN,1,0,2022/12/10,knock,21157,2041,0.096469254,0,3,18,43,27,8,1,4.25,2,1,4,easy,normal,hard
0.5,0.333333333,0.666666667,0,0,0.00073213,1,0,0,0,NN,0,1,2022/1/24,knoll,258038,8317,0.032231687,1,1,11,29,33,21,4,4.83,1,3,2,hard,hard,hard+
0.5,0.666666667,0.333333333,0,0.5,0.006980773,0,0,0,0,NN,1,1,2022/8/12,label,34198,3076,0.089946781,0,4,18,32,29,15,2,4.45,1,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0,0.002200646,0,0,1,0,NN,1,1,2022/3/10,lapse,208884,9960,0.047681967,0,8,31,34,19,7,1,3.92,2,2,1,easy,normal,easy
0.5,0.666666667,0.333333333,0,0.5,0,0,0,1,0,NN,0,0,2022/4/30,larva,77991,5749,0.073713634,0,2,10,25,35,23,4,4.87,1,3,2,hard,hard,hard+
0.5,1,0,0,0,0.075146745,0,0,1,1,VB,1,0,2022/10/1,leave,28202,2696,0.095596057,0,4,16,34,31,12,1,4.29,2,1,4,hard,normal,hard
0.5,0.666666667,0.333333333,0,0.5,0,1,0,0,1,NN,0,1,2022/9/7,leery,30992,2873,0.092701342,0,3,17,37,28,12,2,4.37,2,1,4,hard,normal,hard
0.5,0.666666667,0.333333333,0,0.5,0.00073213,0,0,0,0,NN,1,0,2022/10/29,libel,25156,2536,0.10081094,0,3,15,32,32,16,2,4.55,1,1,4,hard,normal,hard+
0,0.333333333,0.666666667,0,0,0.12206733,0,0,0,0,NN,1,1,2022/1/31,light,341314,13347,0.039104754,1,10,25,27,19,12,5,4.21,2,1,4,easy,normal,hard
0.5,0.666666667,0.333333333,0,0.5,0.00146426,0,0,0,0,NN,1,0,2022/7/3,lilac,40486,3461,0.085486341,0,2,17,38,29,12,1,4.34,2,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0.5,0.005874065,0,0,0,0,NN,1,1,2022/7/14,liver,40549,3388,0.083553232,0,4,16,26,25,20,8,4.85,1,3,2,hard,hard,hard+
0,0.333333333,0.666666667,0,0.5,0.001834581,0,0,0,0,NN,1,0,2022/9/10,lofty,29237,2777,0.094982385,0,4,19,34,27,13,3,4.44,1,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0.5,0.000366491,0,0,0,0,NN,1,0,2022/6/19,loser,55359,4399,0.079463141,1,10,28,32,19,8,2,3.96,2,2,1,easy,normal,easy
0.5,0.333333333,0.666666667,0,0.5,0.000366491,0,0,0,0,RB,1,1,2022/3/31,lowly,135219,8469,0.062631731,0,2,9,26,32,24,8,5.19,1,3,2,hard,hard,hard+
0,0.666666667,0.333333333,0,0.5,0.003664906,0,0,0,0,NN,0,1,2022/12/21,lunar,22180,2036,0.091794409,0,5,32,40,17,4,0,3.75,2,2,1,easy,easy,easy
0.5,0.666666667,0.333333333,0,0.5,0.00073213,0,0,0,0,NN,1,1,2022/7/11,madam,40545,3430,0.084597361,0,3,13,35,34,14,2,4.59,1,1,4,hard,normal,hard+
0,0.333333333,0.666666667,0,0.5,0.00073213,0,0,0,0,RB,1,0,2022/12/31,manly,20380,1899,0.093179588,0,2,17,37,29,12,2,4.4,2,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0.5,0.001834581,0,0,0,0,NN,1,1,2022/5/31,manor,62768,4802,0.076503951,0,6,27,34,21,10,2,4.14,2,2,4,easy,normal,normal
0,0.666666667,0.333333333,0,0.5,0.002566711,0,0,1,0,NN,1,1,2022/11/14,maple,26536,2467,0.092968043,1,6,26,36,21,8,1,3.98,2,2,1,easy,normal,normal
0,0.333333333,0.666666667,1,0,0,0,0,0,0,NN,0,1,2022/10/5,marxh,30935,2885,0.093260061,0,9,30,35,19,6,1,3.89,2,2,1,easy,normal,easy
0,0.666666667,0.333333333,0,0.5,0.002566711,0,0,0,0,NN,0,1,2022/11/11,medal,25993,2438,0.093794483,0,5,25,38,23,8,1,4.1,2,2,1,easy,normal,normal
0,0.666666667,0.333333333,0,0.5,0.010641422,0,0,0,0,NN,1,1,2022/8/22,merit,35888,3123,0.087020731,0,7,33,37,17,5,0,3.76,2,2,1,easy,easy,easy
0,0.666666667,0.333333333,0,0.5,0.022346987,0,0,0,0,NN,1,0,2022/5/14,metal,73225,5290,0.072243086,1,10,31,34,18,7,1,3.92,2,2,1,easy,normal,easy
0,0.666666667,0.333333333,0,0,0.00146426,0,0,1,0,NN,0,0,2022/7/23,midge,36769,3111,0.084609318,0,2,18,39,28,10,2,4.34,2,1,4,hard,normal,hard
0,0.333333333,0.666666667,0,0,0.006980773,0,0,0,0,NN,0,0,2022/5/7,midst,74458,5233,0.070281232,0,3,25,39,24,9,1,4.21,2,1,4,easy,normal,hard
0,0.666666667,0.333333333,0,0,0.000366491,0,0,1,0,NN,1,1,2022/4/14,mince,113448,7356,0.064840279,0,6,24,35,24,10,1,4.14,2,2,4,easy,normal,normal
0,0.666666667,0.333333333,0,0,0.004030971,0,0,0,1,NN,0,1,2022/2/2,moist,361908,14205,0.039250307,3,13,32,29,16,7,1,3.73,2,2,1,easy,easy,easy
0,0.666666667,0.333333333,0,0.5,0.000366491,0,0,0,0,NN,1,1,2022/12/30,molar,21204,1973,0.093048481,0,4,21,38,26,9,1,4.17,2,1,4,easy,normal,normal
0,0.666666667,0.333333333,0,0.5,0.097140863,0,0,0,0,NN,1,0,2022/5/22,money,67909,4928,0.072567701,1,7,26,36,21,8,1,4,2,2,1,easy,normal,normal
0,0.333333333,0.666666667,0,0,0.047653992,0,0,0,0,NN,1,1,2022/3/9,month,201799,9435,0.046754444,1,5,26,37,22,8,1,4.05,2,2,1,easy,normal,normal
0.5,0.666666667,0.333333333,0,0.5,0.00146426,1,0,1,0,NN,0,1,2022/7/27,motto,38384,3285,0.085582534,0,1,11,36,36,14,1,4.53,1,1,4,hard,normal,hard+
0,0.666666667,0.333333333,0,0,0.009534714,0,0,0,1,NN,1,1,2022/1/27,mount,331844,11451,0.034507178,1,9,29,33,19,7,1,3.85,2,2,1,easy,normal,easy
0,0.666666667,0.333333333,0,0,0.00073213,0,0,0,1,NN,1,1,2022/3/3,mourn,240018,10465,0.043600897,1,8,29,34,19,8,1,3.93,2,2,1,easy,normal,easy
0,1,0,0,0.5,0.010641422,0,0,1,1,NN,0,1,2022/3/17,movie,169071,8847,0.052327129,1,5,18,30,26,16,3,4.41,2,1,4,hard,normal,hard
1,0.333333333,0.666666667,0,0.5,0,1,0,0,0,NN,1,0,2022/10/23,mummy,29279,3021,0.103179753,0,1,4,14,27,37,18,6.07,1,3,3,hard,hard,hard+
0,0.333333333,0.666666667,0,0.5,0.001834581,0,0,0,0,NN,0,0,2022/12/11,naïve,21947,2075,0.094545952,1,7,24,32,24,11,1,4.11,2,2,4,easy,normal,normal
0.5,0.666666667,0.333333333,0,0.5,0.00073213,0,0,0,0,JJ,1,1,2022/3/2,nasty,257304,10813,0.04202422,1,7,26,31,21,11,2,4.08,2,2,1,easy,normal,normal
0,0.666666667,0.333333333,0,0.5,0,0,0,1,0,JJ,1,1,2022/4/5,natal,121356,7702,0.063466166,0,2,14,32,32,17,3,4.66,1,1,2,hard,normal,hard+
0.5,0.666666667,0.333333333,0,0.5,0.002200646,1,0,0,1,NN,1,1,2022/8/24,needy,33700,2927,0.086854599,0,2,21,41,26,9,1,4.25,2,1,4,easy,normal,hard
0,0.333333333,0.666666667,0,0,0.150659981,0,0,0,0,NN,1,1,2022/7/12,night,46910,3870,0.082498401,1,8,27,27,17,13,7,4.39,2,1,4,hard,normal,hard
0,1,0,0,0.5,0.001834581,0,1,1,0,JJ,1,0,2022/4/23,olive,95562,6482,0.067830309,1,6,25,34,23,10,1,4.09,2,2,1,easy,normal,normal
0,0.666666667,0.333333333,0,0.5,0.01391898,0,1,0,0,NN,1,1,2022/8/30,onset,33660,3009,0.089393939,0,4,29,40,21,6,1,4.06,2,2,1,easy,normal,normal
0,0.666666667,0.333333333,0,0.5,0.623900209,0,1,0,0,JJ,1,0,2022/2/21,other,278731,10887,0.039059165,1,9,26,30,21,10,2,4.02,2,2,1,easy,normal,normal
0,1,0,1,0.5,0.001098195,0,1,1,0,NN,0,1,2022/4/21,oxide,97955,6960,0.071053035,0,2,11,30,33,21,4,4.88,1,3,2,hard,hard,hard+
0,0.666666667,0.333333333,0,0.5,0.008044915,0,0,0,0,NN,1,0,2022/1/15,panic,205880,4655,0.022610258,1,9,35,34,16,5,1,3.8,2,2,1,easy,normal,easy
0.5,0.666666667,0.333333333,0,0.5,0,0,0,0,0,NN,1,1,2022/9/16,parer,37309,4130,0.110697151,0,0,4,11,15,22,48,7.43,1,3,3,hard,hard,hard+
0.5,0.333333333,0.666666667,0,0.5,0.000366491,1,0,0,0,NN,1,1,2022/8/9,patty,36223,3019,0.083344836,0,2,16,39,29,12,1,4.35,2,1,4,hard,normal,hard
0,1,0,0,0,0.00770439,0,0,1,1,NN,1,1,2022/2/10,pause,304830,13480,0.044221369,1,8,26,32,21,10,2,4.08,2,2,1,easy,normal,normal
0,0.666666667,0.333333333,0,0,0.001098195,0,0,0,1,NN,1,1,2022/6/3,peach,65431,4957,0.075759197,1,13,38,32,13,3,0,3.52,2,2,1,easy,easy,easy
0,0.333333333,0.666666667,0,0.5,0.00073213,0,0,0,0,NN,0,1,2022/1/28,perky,296968,11148,0.037539398,1,4,17,30,27,17,4,4.57,1,1,4,hard,normal,hard+
0.5,0.666666667,0.333333333,0,0.5,0.001834581,0,0,1,0,NN,0,1,2022/11/4,photo,27330,2565,0.093852909,0,5,34,43,15,3,0,3.77,2,2,1,easy,easy,easy
0,0.666666667,0.333333333,0,1,0.00146426,0,0,0,1,NN,0,1,2022/6/10,piety,55376,4324,0.078084369,0,4,25,41,22,7,1,4.09,2,2,1,easy,normal,normal
0,0.666666667,0.333333333,0,0.5,0,0,0,0,0,NN,0,1,2022/11/1,piney,27502,3667,0.133335757,0,1,14,37,33,14,2,4.61,1,1,4,hard,normal,hard+
0,0.666666667,0.333333333,0,0.5,0.000366491,0,0,1,0,NN,0,1,2022/7/1,pinto,47248,3792,0.080257365,0,5,25,41,22,6,1,4.05,2,2,1,easy,normal,normal
0,0.333333333,0.666666667,0,0,0.045821113,0,0,0,0,NN,1,1,2022/4/22,plant,119232,7731,0.064839976,2,19,39,28,10,3,0,3.37,2,2,1,easy,easy,easy
0,0.666666667,0.333333333,0,0,0,0,0,0,1,NN,1,1,2022/2/4,pleat,359679,14813,0.041183945,1,10,28,31,19,9,2,3.98,2,2,1,easy,normal,normal
0,0.666666667,0.333333333,0,0,0.144794855,0,0,0,1,NN,1,1,2022/1/19,point,280622,7094,0.025279558,1,16,37,28,12,4,1,3.5,2,2,1,easy,easy,easy
0,1,0,0,0,0.002200646,0,0,1,1,NN,1,0,2022/12/24,poise,20281,1911,0.094226123,2,11,34,32,15,6,1,3.75,2,2,1,easy,easy,easy
0,0.666666667,0.333333333,0,0.5,0.002200646,0,0,0,0,NN,1,1,2022/8/15,poker,35376,3180,0.089891452,0,4,17,30,27,17,5,4.66,1,1,2,hard,normal,hard+
0,0.666666667,0.333333333,0,0.5,0.125366597,0,0,0,0,NN,1,0,2022/7/24,power,39813,3401,0.085424359,2,6,19,29,24,15,4,4.37,2,1,4,hard,normal,hard
0,0.333333333,0.666666667,0,0,0.00073213,0,0,0,0,NN,1,1,2022/1/21,prick,273727,7409,0.027067114,1,8,30,33,19,7,1,3.86,2,2,1,easy,normal,easy
0,0.666666667,0.333333333,0,0,0.016515488,0,0,1,0,NN,1,1,2022/11/22,prime,27437,2534,0.092357036,1,10,26,32,21,9,1,3.96,2,2,1,easy,normal,easy
0,0.666666667,0.333333333,0,0.5,0,0,0,1,0,NN,1,1,2022/6/15,primo,55989,4391,0.078426119,0,3,22,38,25,10,2,4.29,2,1,4,hard,normal,hard
0,0.666666667,0.333333333,1,0,0.010258331,0,0,1,0,NN,1,1,2022/8/31,prize,35343,3166,0.089579266,0,5,12,20,32,26,5,4.92,1,3,2,hard,hard,hard+
0,0.333333333,0.666666667,1,0.5,0.002566711,0,0,0,0,NN,1,1,2022/1/18,proxy,220950,6206,0.028087803,1,2,11,24,31,26,6,5.05,1,3,2,hard,hard,hard+
0,0.666666667,0.333333333,0,0,0.00073213,0,0,1,0,NN,1,1,2022/3/23,purge,156785,8555,0.054565169,1,4,22,35,26,11,2,4.31,2,1,4,hard,normal,hard
0,0.666666667,0.333333333,1,0,0.001098195,0,0,0,1,NN,1,1,2022/8/1,quart,36662,3303,0.090093285,0,5,20,33,27,13,2,4.35,2,1,4,hard,normal,hard
0,0.666666667,0.333333333,1,0.5,0.000366491,0,0,0,1,NN,1,1,2022/1/10,query,107134,2242,0.020927063,1,4,16,30,30,17,2,4.49,1,1,4,hard,normal,hard
0,0.666666667,0.333333333,1,0,0.000366491,0,0,0,1,NN,1,1,2022/10/19,quirk,28322,2794,0.098651225,0,3,23,39,24,9,2,4.25,2,1,4,easy,normal,hard
0,0.666666667,0.333333333,0,0.5,0.001834581,0,0,0,1,NN,0,1,2022/11/9,rainy,28984,2678,0.092395805,1,16,38,31,11,3,1,3.54,2,2,1,easy,easy,easy
0,0.666666667,0.333333333,0,0.5,0,0,0,0,0,NN,1,1,2022/9/21,recap,31976,2900,0.09069302,0,5,30,35,21,8,1,4.03,2,2,1,easy,normal,normal
0.5,0.666666667,0.333333333,0,0.5,0.00146426,0,0,0,0,NN,1,0,2022/3/20,renew,154987,8417,0.054307781,0,4,20,33,27,13,2,4.33,2,1,4,hard,normal,hard
0.5,0.666666667,0.333333333,0,0.5,0,0,0,1,0,NN,1,1,2022/6/27,retro,47986,3848,0.080190055,0,6,24,35,24,9,1,4.08,2,2,1,easy,normal,normal
0,0.333333333,0.666666667,0,0,0.001098195,0,0,1,0,NN,1,1,2022/8/4,rhyme,37229,3336,0.089607564,0,4,22,39,25,8,1,4.13,2,2,4,easy,normal,normal
0,0.666666667,0.333333333,0,0.5,0.004384266,0,0,0,0,NN,1,1,2022/12/15,rival,22176,2127,0.095914502,0,7,27,35,22,8,1,4.03,2,2,1,easy,normal,normal
0.5,0.666666667,0.333333333,0,0.5,0.000366491,0,0,0,0,NN,0,1,2022/1/20,robot,243964,6589,0.027008083,1,8,29,34,20,8,1,3.98,2,2,1,easy,normal,normal
0.5,0.666666667,0.333333333,0,0.5,0.000366491,1,0,0,1,NN,1,0,2022/7/16,roomy,38769,3280,0.084603678,0,2,17,41,28,10,2,4.39,2,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0.5,0.01757963,0,0,0,0,NN,1,1,2022/4/12,royal,114907,7275,0.06331207,1,5,24,36,23,9,1,4.06,2,2,1,easy,normal,normal
0.5,0.666666667,0.333333333,0,0.5,0,0,0,0,0,NN,1,0,2022/8/27,ruder,31241,2784,0.089113665,0,2,16,33,29,16,4,4.65,1,1,2,hard,normal,hard+
0.5,1,0,0,0.5,0.002200646,1,0,1,1,NN,1,1,2022/3/1,rupee,240137,10577,0.044045691,1,2,17,35,30,13,2,4.44,1,1,4,hard,normal,hard
0,0.333333333,0.666666667,0,0.5,0.002932776,0,0,0,0,NN,1,0,2022/6/26,rusty,50450,3954,0.078374628,0,9,37,34,13,5,1,3.7,2,2,1,easy,easy,easy
0,0.666666667,0.333333333,0,0,0.005874065,0,0,0,1,NN,1,1,2022/9/22,saint,34455,3119,0.090523872,1,14,35,29,15,5,1,3.65,2,2,1,easy,easy,easy
0,1,0,0,0.5,0.000366491,0,0,1,1,NN,1,1,2022/3/18,saute,179830,9304,0.051737752,1,8,31,34,19,6,1,3.87,2,2,1,easy,normal,easy
0,0.333333333,0.666666667,0,0,0.000366491,0,0,0,0,NN,1,1,2022/9/29,scald,30477,2829,0.092824097,0,4,23,36,24,11,2,4.27,2,1,4,easy,normal,hard
0,0.666666667,0.333333333,0,0,0.001098195,0,0,1,0,NN,1,1,2022/4/8,scare,141158,9010,0.063829184,1,12,23,26,21,13,4,4.21,2,1,4,easy,normal,hard
0,0.333333333,0.666666667,0,0,0.00146426,0,0,0,0,NN,1,1,2022/9/30,scorn,31223,2859,0.091567114,0,8,31,35,20,6,1,3.95,2,2,1,easy,normal,easy
0,0.666666667,0.333333333,0,0.5,0.000366491,0,0,0,1,NN,1,1,2022/5/18,scour,73933,5544,0.074986812,0,8,34,35,17,5,1,3.83,2,2,1,easy,normal,easy
0,0.333333333,0.666666667,0,0,0.002932776,0,0,0,0,NN,1,0,2022/5/21,scrap,66814,4973,0.074430509,1,9,28,34,20,8,1,3.97,2,2,1,easy,normal,easy
0.5,0.666666667,0.333333333,0,0.5,0.001098195,0,0,0,0,NN,1,0,2022/7/4,sever,42645,3591,0.084206824,0,2,13,27,29,21,7,4.92,1,3,2,hard,hard,hard+
0,0.666666667,0.333333333,0,0,0.006214591,0,0,1,0,NN,1,1,2022/2/17,shake,342003,12767,0.037330082,1,6,16,23,24,21,9,4.89,1,3,2,hard,hard,hard+
0.5,0.333333333,0.666666667,0,0,0.098240334,1,0,0,0,MD,0,1,2022/3/29,shall,149070,8494,0.056979942,0,3,17,30,28,17,4,4.59,1,1,4,hard,normal,hard+
0,0.666666667,0.333333333,0,0,0.00770439,0,0,1,0,NN,1,0,2022/4/15,shame,129991,8522,0.065558385,1,11,22,25,21,15,5,4.34,2,1,4,hard,normal,hard
0,0.333333333,0.666666667,0,0,0,0,0,0,0,NN,0,1,2022/2/3,shard,358176,14609,0.040787211,1,7,22,28,25,14,4,4.42,2,1,4,hard,normal,hard
0,0.333333333,0.666666667,0,0,0.001098195,0,0,0,0,NN,0,1,2022/4/4,shawl,129651,7943,0.061264472,0,3,16,31,30,16,3,4.54,1,1,4,hard,normal,hard+
0,0.666666667,0.333333333,0,0,0.001834581,0,0,1,0,NN,1,1,2022/5/9,shine,88932,6146,0.069108982,1,14,32,30,17,6,1,3.76,2,2,1,easy,easy,easy
0,0.666666667,0.333333333,0,0,0,0,0,1,0,NN,1,0,2022/1/17,shire,222197,5640,0.025382881,1,8,32,32,18,8,2,3.99,2,2,1,easy,normal,normal
0,0.333333333,0.666666667,0,0,0.060850633,0,0,0,0,VBN,1,1,2022/4/27,shown,98967,6564,0.066325139,0,6,26,36,22,8,1,4.02,2,2,1,easy,normal,normal
0,0.333333333,0.666666667,0,0.5,0.000366491,0,0,0,0,NN,1,1,2022/6/2,showy,61278,4770,0.077841966,0,2,16,37,30,13,2,4.48,1,1,4,hard,normal,hard
0,0.333333333,0.666666667,0,0,0.00073213,0,0,0,0,NN,1,1,2022/8/19,shrug,33965,2987,0.087943471,0,4,23,36,26,10,1,4.21,2,1,4,easy,normal,hard
0.5,0.333333333,0.666666667,0,0,0.01540878,1,0,0,0,NN,1,0,2022/2/6,skill,311018,13716,0.044100341,1,3,17,33,27,16,3,4.51,1,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0,0.003664906,0,0,1,0,NN,1,1,2022/12/19,slate,26010,2422,0.093118032,6,14,33,27,13,5,1,3.46,2,2,1,easy,easy,easy
0.5,0.333333333,0.666666667,0,0,0,0,0,0,0,NN,1,1,2022/3/22,slosh,160161,8807,0.054988418,0,2,19,36,27,13,2,4.38,2,1,4,hard,normal,hard
0,0.333333333,0.666666667,0,0,0,0,0,0,0,NN,1,1,2022/10/6,sloth,32522,2987,0.09184552,1,10,38,34,13,3,0,3.54,2,2,1,easy,easy,easy
0,0.333333333,0.666666667,0,0,0.002932776,0,0,0,0,NN,1,1,2022/1/7,slump,80630,1362,0.016891976,1,3,23,39,24,9,1,4.16,2,1,4,easy,normal,normal
0,0.333333333,0.666666667,0,0,0.00073213,0,0,0,0,NN,1,1,2022/5/12,slung,75673,5419,0.071610746,0,2,16,37,31,13,2,4.53,1,1,4,hard,normal,hard+
0,0.666666667,0.333333333,0,0,0.00073213,0,0,0,1,NN,1,0,2022/8/7,smear,36223,3190,0.088065594,0,2,16,39,29,12,2,4.45,1,1,4,hard,normal,hard
0,0.333333333,0.666666667,0,0,0.001098195,0,0,0,0,NN,1,1,2022/3/14,smelt,185406,9373,0.05055392,0,5,19,33,28,13,2,4.37,2,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0,0,0,0,1,0,NN,1,1,2022/6/24,smite,50617,3991,0.078847028,0,6,23,35,24,11,2,4.27,2,1,4,easy,normal,hard
0,0.333333333,0.666666667,0,0,0,0,0,0,0,NN,1,1,2022/11/15,snarl,27475,2650,0.096451319,0,5,21,31,24,15,4,4.47,1,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0,0.00073213,0,0,0,1,NN,1,1,2022/10/28,sneak,27905,2636,0.094463358,0,7,28,36,21,7,1,3.99,2,2,1,easy,normal,normal
0,0.666666667,0.333333333,0,0,0.000366491,0,0,0,1,NN,1,1,2022/4/1,snout,144648,8913,0.06161855,1,4,19,27,26,18,5,4.62,1,1,4,hard,normal,hard+
0.5,0.333333333,0.666666667,0,0.5,0.001098195,1,0,0,0,NN,1,1,2022/9/27,soggy,30985,2888,0.09320639,0,2,18,38,28,11,2,4.36,2,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0.5,0.005874065,0,0,0,0,NN,0,0,2022/1/16,solar,209609,4955,0.023639252,1,9,32,32,18,7,1,3.85,2,2,1,easy,normal,easy
0,0.666666667,0.333333333,0,0,0.003664906,0,0,1,0,NN,1,0,2022/10/16,spade,30459,2854,0.093699728,1,8,29,36,19,6,1,3.89,2,2,1,easy,normal,easy
0.5,0.333333333,0.666666667,0,0,0.006980773,1,0,0,0,NN,1,1,2022/11/8,spell,27213,2531,0.093007019,0,4,24,37,24,9,1,4.12,2,2,4,easy,normal,normal
0,0.666666667,0.333333333,0,0,0,0,0,0,1,NN,1,0,2022/10/22,spiel,29084,2810,0.096616696,0,7,32,36,19,6,1,3.95,2,2,1,easy,normal,easy
0.5,0.333333333,0.666666667,0,0,0.000366491,1,0,0,0,NN,1,0,2022/2/26,spill,248363,10087,0.04061394,1,5,26,34,22,10,2,4.15,2,1,4,easy,normal,normal
0,0.666666667,0.333333333,0,0,0.031881701,0,0,1,0,NN,1,1,2022/12/13,spoke,24101,2224,0.092278329,0,6,31,38,19,5,0,3.82,2,2,1,easy,normal,easy
0,0.666666667,0.333333333,1,0,0.006597682,0,0,0,1,NN,1,1,2022/4/11,squad,109828,7236,0.065884838,0,3,20,33,27,14,2,4.37,2,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0,0.00073213,0,0,0,1,NN,0,0,2022/4/9,stair,134210,8537,0.063609269,2,21,36,26,11,4,1,3.45,2,2,1,easy,easy,easy
0,0.666666667,0.333333333,0,0,0.00146426,0,0,1,0,NN,1,0,2022/11/6,stale,31068,3013,0.096980816,2,19,30,27,15,6,2,3.69,2,2,1,easy,easy,easy
0,0.666666667,0.333333333,0,0,0.00146426,0,0,0,1,NN,0,0,2022/7/9,stead,47094,3933,0.083513823,1,6,20,27,28,16,3,4.47,1,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0,0.006597682,0,0,0,1,NN,1,1,2022/10/17,stein,31269,2965,0.094822348,1,12,34,32,16,5,1,3.75,2,2,1,easy,easy,easy
0,0.333333333,0.666666667,0,0,0.014302072,0,0,0,0,NN,1,0,2022/9/18,stick,33102,3038,0.091776932,1,9,36,35,14,4,0,3.61,2,2,1,easy,easy,easy
0,0.333333333,0.666666667,0,0,0.001834581,0,0,0,0,VBG,1,1,2022/10/3,sting,32288,2969,0.091953667,1,10,30,33,18,8,2,4.01,2,2,1,easy,normal,normal
