Date,is_workday,Contest number,Word,Number of reported results,Number in hard mode,percent in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),ATN,GloVe
2022/11/17,1,516,there,27465,2530,0.09211724,0,14,35,33,14,4,0,3.59,
2022/12/20,1,549,third,24137,2261,0.093673613,1,10,47,32,9,2,0,3.47,
2022/2/22,1,248,thorn,306356,11814,0.038562979,1,14,38,30,12,4,0,3.47,
2022/2/1,1,227,those,351663,13606,0.038690451,1,13,34,30,15,6,1,3.7,
2022/9/14,1,452,thyme,32142,2938,0.091406882,1,5,24,41,23,5,0,3.92,
2022/5/27,1,342,tiara,63846,4842,0.075838737,0,8,36,33,17,6,1,3.87,
2022/9/11,0,449,tibia,27887,2675,0.095922831,0,1,14,40,30,12,2,4.46,
2022/5/13,1,328,tipsy,77585,5522,0.071173552,0,6,33,38,17,5,1,3.88,
2022/3/12,0,266,today,192049,9353,0.048701113,1,7,29,35,20,7,1,3.94,
2022/12/3,0,532,torso,23873,2260,0.094667616,0,4,35,36,17,6,1,3.88,
2022/5/4,1,319,train,107750,7243,0.067220418,6,26,32,22,10,3,0,3.1,
2022/6/8,1,354,trait,61026,4607,0.075492413,0,6,22,35,24,11,2,4.24,
2022/8/20,0,427,treat,38245,3249,0.084952281,1,22,32,26,14,5,1,3.55,
2022/9/19,1,457,trice,35050,3430,0.0978602,0,5,24,25,18,17,11,4.84,
2022/7/20,1,396,trite,42237,3685,0.08724578,0,4,14,22,22,23,15,5.36,
2022/4/2,0,287,trope,155079,9315,0.06006616,1,16,33,28,15,6,1,3.65,
2022/2/23,1,249,trove,277576,11411,0.041109462,1,5,16,24,25,22,8,4.92,
2022/7/22,1,398,tryst,43099,3665,0.085036776,0,3,26,41,23,6,1,4.09,
2022/8/18,1,425,twang,34938,3172,0.090789398,0,3,22,43,25,7,1,4.21,
2022/8/17,1,424,twice,35815,3173,0.088594164,1,6,28,38,21,6,1,4.0,
2022/10/2,0,470,twine,30088,2775,0.09222946,0,6,28,40,20,5,1,3.96,
2022/2/11,1,237,ulcer,278826,10631,0.038127721,1,4,18,30,28,16,3,4.49,
2022/2/12,0,238,ultra,269885,9310,0.034496174,1,7,23,34,24,10,1,4.1,
2022/11/29,1,528,undue,23739,2316,0.097560976,0,3,19,35,29,13,2,4.46,
2022/8/8,1,415,unfit,35516,3187,0.089734204,0,3,24,38,25,9,1,4.19,
2022/11/10,1,509,unite,27467,2575,0.093748862,1,11,31,33,18,5,1,3.78,
2022/7/29,1,405,upset,37791,3213,0.085020243,0,5,30,38,20,6,1,3.98,
2022/12/14,1,543,usual,20824,2048,0.09834806,0,3,20,39,27,10,1,4.27,
2022/9/28,1,466,usurp,31355,3007,0.09590177,0,3,21,38,26,9,1,4.15,
2022/11/12,0,511,valet,24660,2356,0.095539335,0,4,22,38,25,9,1,4.15,
2022/10/11,1,479,valid,28575,2752,0.096307962,0,4,28,38,21,8,1,4.07,
2022/10/8,0,476,vigor,26905,2642,0.098197361,0,2,15,35,31,14,2,4.48,
2022/2/25,1,251,vivid,255907,11687,0.045668934,1,2,10,29,33,21,4,4.82,
2022/7/8,1,384,voice,42806,3484,0.081390459,1,5,24,35,25,9,1,4.12,
2022/5/25,1,340,vouch,62723,4835,0.077084961,0,2,9,25,33,24,6,5.0,
2022/7/17,0,393,wacky,39611,3345,0.08444624,0,3,18,39,27,10,2,4.31,
2022/10/30,0,498,waltz,24672,2496,0.101167315,0,2,11,29,35,19,3,4.72,
2022/8/21,0,428,waste,35617,3186,0.089451666,1,7,19,27,24,17,5,4.52,
2022/3/11,1,265,watch,226349,12400,0.054782659,1,6,14,18,17,24,20,5.56,
2022/7/15,1,391,wedge,39234,3353,0.085461589,0,2,11,32,37,17,2,4.72,
2022/1/26,1,221,whack,302348,10163,0.033613584,1,4,22,37,24,10,2,4.23,
2022/9/5,0,443,whoop,32733,2970,0.090734122,0,1,16,47,29,7,1,4.35,
2022/1/22,0,217,wince,241489,6850,0.028365681,1,3,17,33,29,15,3,4.55,
2022/12/5,1,534,woken,23153,2200,0.095020084,0,2,10,25,36,23,4,4.92,
2022/8/23,1,430,woven,33549,2933,0.087424364,0,2,13,32,32,17,3,4.63,
2022/1/30,0,225,wrung,294687,11524,0.039105899,0,2,18,39,27,12,2,4.41,
2022/5/15,0,330,yield,67115,4963,0.073947702,0,4,16,29,29,18,4,4.65,
2022/8/3,1,410,youth,38381,3327,0.086683515,1,5,17,31,29,15,3,4.51,
2022/4/28,1,313,zesty,88974,6315,0.070975791,0,2,12,27,30,22,7,5.0,
